accepted_name,occurrence_no,class,collection_no,cc,max_ma,min_ma,lat,lng,paleolat,paleolng,group,stage,MAT_degC,GSP_cm,MAP_cm,s_temp,s_precip
Yunnanosaurus robustus,1092256,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Sauropodomorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Yunnanosaurus robustus,1092257,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Sauropodomorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092267,Saurischia,59348,CN,199.3,190.8,25.183153,102.120239,37.39,122.23,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092267,Saurischia,59348,CN,199.3,190.8,25.183153,102.120239,37.39,122.23,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092267,Saurischia,59348,CN,199.3,190.8,25.183153,102.120239,37.39,122.23,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092269,Saurischia,49775,CN,199.3,190.8,25.15,102.066666,37.35,122.18,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092269,Saurischia,49775,CN,199.3,190.8,25.15,102.066666,37.35,122.18,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092269,Saurischia,49775,CN,199.3,190.8,25.15,102.066666,37.35,122.18,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092269,Saurischia,49775,CN,199.3,190.8,25.15,102.066666,37.35,122.18,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092269,Saurischia,49775,CN,199.3,190.8,25.15,102.066666,37.35,122.18,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092269,Saurischia,49775,CN,199.3,190.8,25.15,102.066666,37.35,122.18,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Dianosuchus changchiawaensis,1092271,Reptilia,137128,CN,199.3,190.8,25.172689,102.107323,37.38,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Platyognathus hsui,1092273,Reptilia,49777,CN,199.3,190.8,25.14889,102.058891,37.35,122.17,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Dibothrosuchus elaphros,1092274,Reptilia,55275,CN,199.3,190.8,25.166668,102.166664,37.38,122.29,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Phyllodontosuchus lufengensis,1092276,Reptilia,137007,CN,199.3,190.8,25.16361,102.111115,37.37,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Dianchungosaurus lufengensis,1092277,Reptilia,137353,CN,199.3,190.8,25.14889,102.058891,37.35,122.17,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Hadrocodium wui,1092281,Osteichthyes,137354,CN,199.3,190.8,25.14889,102.058891,37.35,122.17,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Morganucodon heikuopengensis,1092282,Osteichthyes,78993,CN,199.3,190.8,25.172689,102.107323,37.38,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Dianzhongia longirostrata,1092283,Osteichthyes,137128,CN,199.3,190.8,25.172689,102.107323,37.38,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Yunnanodon brevirostre,1092284,Osteichthyes,49778,CN,199.3,190.8,25.168604,102.107147,37.38,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Morganucodon oehleri,1092286,Osteichthyes,137007,CN,199.3,190.8,25.16361,102.111115,37.37,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Pelecymala robustus,1093726,Reptilia,13176,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
